store_id,total_sales,total_quantity,transactions
STORE-11,27951.27,49,15
STORE-53,27362.83,46,17
STORE-5,23939.35,36,14
STORE-68,23762.36,47,14
STORE-96,23246.67,35,11
STORE-79,23207.73,46,14
STORE-50,22716.91,40,11
STORE-92,22639.52,34,10
STORE-31,22450.77,33,11
STORE-74,21834.82,51,18
STORE-88,21156.89,42,14
STORE-56,20954.2,37,10
STORE-20,20899.42,40,13
STORE-93,20386.33,37,12
STORE-84,20338.45,37,10
STORE-35,19705.54,42,11
STORE-29,19293.61,37,10
STORE-40,19166.86,28,7
STORE-30,18534.89,36,10
STORE-22,18483.96,46,14
STORE-6,18438.13,27,9
STORE-85,18407.4,32,11
STORE-4,18296.63,32,12
STORE-38,17986.75,33,11
STORE-18,17890.05,32,9
STORE-69,17614.88,28,9
STORE-17,17183.49,29,8
STORE-77,16700.88,32,13
STORE-60,16447.77,31,10
STORE-1,16362.76,42,14
STORE-78,16039.15,31,15
STORE-80,15975.73,30,11
STORE-91,15869.93,35,9
STORE-52,15749.62,24,7
STORE-9,15693.78,34,10
STORE-61,15626.66,28,10
STORE-87,15595.42,22,7
STORE-62,15431.45,27,9
STORE-43,15307.42,23,10
STORE-32,15285.53,32,12
STORE-21,15162.97,23,8
STORE-34,14870.69,19,8
STORE-57,14712.51,31,10
STORE-86,14665.59,30,11
STORE-42,14432.51,35,13
STORE-47,14427.83,23,9
STORE-19,14227.83,31,9
STORE-71,14217.17,29,11
STORE-49,14136.45,24,8
STORE-99,14077.88,25,10
STORE-89,13894.27,29,10
STORE-72,13833.48,24,8
STORE-55,13745.58,27,8
STORE-39,13352.41,32,10
STORE-14,13241.62,29,11
STORE-23,13173.05,26,8
STORE-98,13083.68,23,8
STORE-70,13082.75,37,13
STORE-45,12762.63,23,9
STORE-27,12682.83,28,9
STORE-12,12439.72,21,8
STORE-7,12244.99,23,7
STORE-33,12178.16,23,6
STORE-83,12125.33,25,8
STORE-67,12010.51,19,5
STORE-10,11984.25,33,11
STORE-97,11921.25,30,11
STORE-26,11853.6,24,8
STORE-76,11437.51,30,11
STORE-63,11157.94,21,8
STORE-2,11003.83,30,10
STORE-15,10986.28,28,10
STORE-46,10804.4,21,7
STORE-90,10578.39,22,11
STORE-3,10392.03,18,7
STORE-28,10376.09,25,7
STORE-16,10366.64,16,5
STORE-51,10274.78,29,9
STORE-66,10122.5,23,10
STORE-65,9954.9,15,7
STORE-73,9269.87,29,10
STORE-100,9255.91,18,6
STORE-64,9039.6,22,9
STORE-58,8968.25,22,9
STORE-82,8469.91,28,9
STORE-75,8218.93,20,5
STORE-25,7816.76,15,5
STORE-36,7792.45,19,7
STORE-44,7656.44,19,5
STORE-37,7459.5,25,12
STORE-41,7202.75,22,9
STORE-81,6777.58,21,6
STORE-24,6563.52,22,8
STORE-54,6315.84,15,6
STORE-59,6078.65,18,7
STORE-95,5813.75,12,4
STORE-48,5797.65,13,3
STORE-13,4467.1,13,4
STORE-8,2210.14,11,3
STORE-94,2036.46,6,4
